IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario2_1_1; 1; 2; 3; 0.20; 0.30; 0.25; +fault-01 (d=1), +fault-03 (d=1), +fault-05 (d=1), +fault-10 (d=2); -fault-01, -fault-02, -fault-03, -fault-06, -fault-12, -fault-18
Scenario2_1_1; 1; 2; 3; 0.10; 0.25; 0.17; +fault-03 (d=1), +fault-04 (d=1); -fault-01, -fault-02, -fault-03, -fault-08, -fault-12
Scenario2_1_1; 1; 1; 4; 0.20; 0.45; 0.33; +fault-02 (d=1), +fault-03 (d=1), +fault-05 (d=1), +fault-09 (d=2); -fault-01, -fault-02, -fault-03, -fault-04, -fault-06, -fault-08, -fault-09, -fault-12, -fault-14
Scenario2_1_1; 1; 2; 3; 0.15; 0.30; 0.23; +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-03, -fault-04, -fault-06, -fault-08, -fault-11
Scenario2_1_1; 1; 1; 4; 0.15; 0.35; 0.25; +fault-02 (d=1), +fault-09 (d=2), +fault-10 (d=2); -fault-01, -fault-03, -fault-04, -fault-05, -fault-09, -fault-11, -fault-13
Scenario2_1_1; 1; 1; 4; 0.15; 0.30; 0.23; +fault-02 (d=1), +fault-03 (d=1), +fault-10 (d=2); -fault-01, -fault-03, -fault-04, -fault-05, -fault-08, -fault-13
Scenario2_1_1; 1; 2; 3; 0.20; 0.30; 0.25; +fault-01 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-14 (d=3); -fault-01, -fault-03, -fault-04, -fault-08, -fault-13, -fault-14
Scenario2_1_1; 1; 2; 3; 0.15; 0.20; 0.17; +fault-01 (d=1), +fault-10 (d=2), +fault-15 (d=3); -fault-01, -fault-02, -fault-04, -fault-07
Scenario2_1_1; 1; 2; 3; 0.10; 0.30; 0.20; +fault-01 (d=1), +fault-03 (d=1); -fault-01, -fault-02, -fault-03, -fault-06, -fault-07, -fault-18
Scenario2_1_1; 1; 1; 4; 0.15; 0.40; 0.28; +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-03, -fault-05, -fault-06, -fault-08, -fault-10, -fault-11
Scenario2_1_1; 2; 18; 32; 0.40; 0.75; 0.57; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-13 (d=3), +fault-19 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-09, -fault-10, -fault-11, -fault-12, -fault-14, -fault-18, -fault-20
Scenario2_1_1; 2; 20; 30; 0.50; 0.75; 0.62; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-10 (d=2), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-09, -fault-10, -fault-11, -fault-12, -fault-13, -fault-14, -fault-15
Scenario2_1_1; 2; 16; 33; 0.45; 0.65; 0.55; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-09, -fault-12, -fault-14, -fault-15, -fault-19
Scenario2_1_1; 2; 22; 31; 0.55; 0.80; 0.68; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-16 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-09, -fault-10, -fault-11, -fault-12, -fault-13, -fault-14, -fault-17, -fault-20
