IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_2_2; 1; 6; 1; 0.25; 0.10; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-06
Scenario1_2_2; 1; 6; 1; 0.25; 0.10; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-06
Scenario1_2_2; 1; 6; 1; 0.20; 0.10; 0.15; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-05, -fault-15
Scenario1_2_2; 1; 7; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario1_2_2; 1; 7; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-14 (d=3); 
Scenario1_2_2; 1; 6; 1; 0.30; 0.15; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-09 (d=2); -fault-05, -fault-10, -fault-20
Scenario1_2_2; 1; 6; 1; 0.25; 0.10; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2); -fault-01, -fault-06
Scenario1_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); 
Scenario1_2_2; 1; 6; 1; 0.25; 0.05; 0.15; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-10 (d=2); -fault-05
Scenario1_2_2; 1; 6; 1; 0.25; 0.10; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-02, -fault-07
Scenario1_2_2; 2; 64; 6; 0.50; 0.45; 0.47; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-08 (d=2), +fault-10 (d=2), +fault-14 (d=3), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-08, -fault-10, -fault-12, -fault-15
Scenario1_2_2; 2; 62; 6; 0.55; 0.35; 0.45; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-13 (d=3), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07
