IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario2_2_1; 1; 5; 2; 0.15; 0.20; 0.17; +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-05, -fault-06, -fault-10
Scenario2_2_1; 1; 3; 4; 0.25; 0.20; 0.23; +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); -fault-01, -fault-03, -fault-04, -fault-05
Scenario2_2_1; 1; 3; 4; 0.10; 0.30; 0.20; +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-04, -fault-05, -fault-07, -fault-16
Scenario2_2_1; 1; 3; 4; 0.25; 0.30; 0.28; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-04, -fault-05, -fault-09, -fault-10
Scenario2_2_1; 1; 3; 4; 0.10; 0.30; 0.20; +fault-02 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-04, -fault-05, -fault-06, -fault-12
Scenario2_2_1; 1; 3; 4; 0.05; 0.30; 0.17; +fault-05 (d=1); -fault-01, -fault-02, -fault-03, -fault-04, -fault-06, -fault-09
Scenario2_2_1; 1; 4; 3; 0.15; 0.20; 0.17; +fault-03 (d=1), +fault-05 (d=1), +fault-08 (d=2); -fault-01, -fault-02, -fault-03, -fault-07
Scenario2_2_1; 1; 3; 4; 0.10; 0.30; 0.20; +fault-02 (d=1), +fault-03 (d=1); -fault-01, -fault-02, -fault-03, -fault-04, -fault-07, -fault-13
Scenario2_2_1; 1; 2; 5; 0.05; 0.45; 0.25; +fault-03 (d=1); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-07, -fault-08, -fault-09, -fault-10
Scenario2_2_1; 1; 3; 4; 0.10; 0.25; 0.17; +fault-01 (d=1), +fault-03 (d=1); -fault-01, -fault-02, -fault-03, -fault-04, -fault-07
Scenario2_2_1; 2; 44; 49; 0.45; 0.75; 0.60; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-10 (d=2), +fault-14 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-10, -fault-11, -fault-12, -fault-14, -fault-16, -fault-18, -fault-20
Scenario2_2_1; 2; 49; 44; 0.60; 0.60; 0.60; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-12 (d=3), +fault-13 (d=3), +fault-16 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-08, -fault-09, -fault-10, -fault-11, -fault-13, -fault-14
Scenario2_2_1; 2; 36; 55; 0.45; 0.75; 0.60; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-10, -fault-11, -fault-12, -fault-15, -fault-16, -fault-17, -fault-20
Scenario2_2_1; 2; 42; 52; 0.55; 0.55; 0.55; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-15 (d=3), +fault-20 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-08, -fault-09, -fault-10, -fault-12, -fault-14
