IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_1_2; 1; 3; 2; 0.25; 0.20; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-05 (d=1), +fault-08 (d=2); -fault-02, -fault-03, -fault-07, -fault-08
Scenario1_1_2; 1; 4; 1; 0.25; 0.20; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); -fault-05, -fault-10, -fault-15, -fault-20
Scenario1_1_2; 1; 5; 0; 0.40; 0.00; 0.20; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-09 (d=2); 
Scenario1_1_2; 1; 5; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-10 (d=2); 
Scenario1_1_2; 1; 3; 2; 0.30; 0.20; 0.25; +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-10 (d=2), +fault-14 (d=3); -fault-01, -fault-04, -fault-09, -fault-14
Scenario1_1_2; 1; 3; 2; 0.25; 0.20; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-02, -fault-05, -fault-12, -fault-15
Scenario1_1_2; 1; 3; 2; 0.30; 0.20; 0.25; +fault-01 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-08 (d=2), +fault-10 (d=2); -fault-04, -fault-05, -fault-10, -fault-14
Scenario1_1_2; 1; 3; 2; 0.25; 0.20; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-05 (d=1), +fault-08 (d=2); -fault-03, -fault-05, -fault-08, -fault-10
Scenario1_1_2; 1; 3; 2; 0.30; 0.20; 0.25; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-14 (d=3), +fault-18 (d=4); -fault-01, -fault-05, -fault-10, -fault-20
Scenario1_1_2; 1; 5; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-10 (d=2); 
Scenario1_1_2; 2; 28; 9; 0.50; 0.60; 0.55; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-07, -fault-08, -fault-09, -fault-10, -fault-13, -fault-14
Scenario1_1_2; 2; 27; 8; 0.50; 0.40; 0.45; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2); -fault-01, -fault-02, -fault-04, -fault-05, -fault-06, -fault-10, -fault-15, -fault-20
Scenario1_1_2; 2; 32; 6; 0.65; 0.60; 0.62; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-14 (d=3), +fault-15 (d=3), +fault-16 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-06, -fault-08, -fault-09, -fault-10, -fault-13, -fault-15, -fault-19
Scenario1_1_2; 2; 29; 7; 0.55; 0.35; 0.45; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-11 (d=3), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-08, -fault-09
Scenario1_1_2; 2; 27; 12; 0.60; 0.45; 0.53; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-14 (d=3), +fault-19 (d=4); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-08, -fault-09, -fault-10, -fault-14
