IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_3_1; 1; 2; 3; 0.25; 0.30; 0.28; +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-16 (d=4); -fault-01, -fault-02, -fault-03, -fault-06, -fault-12, -fault-18
Scenario1_3_1; 1; 2; 3; 0.10; 0.25; 0.17; +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-03, -fault-08, -fault-12
Scenario1_3_1; 1; 1; 4; 0.05; 0.45; 0.25; +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-06, -fault-08, -fault-09, -fault-12, -fault-14
Scenario1_3_1; 1; 2; 3; 0.10; 0.30; 0.20; +fault-04 (d=1), +fault-09 (d=2); -fault-01, -fault-03, -fault-04, -fault-06, -fault-08, -fault-11
Scenario1_3_1; 1; 1; 4; 0.05; 0.35; 0.20; +fault-01 (d=1); -fault-01, -fault-03, -fault-04, -fault-05, -fault-09, -fault-11, -fault-13
Scenario1_3_1; 1; 1; 4; 0.10; 0.30; 0.20; +fault-03 (d=1), +fault-05 (d=1); -fault-01, -fault-03, -fault-04, -fault-05, -fault-08, -fault-13
Scenario1_3_1; 1; 2; 3; 0.15; 0.30; 0.23; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1); -fault-01, -fault-03, -fault-04, -fault-08, -fault-13, -fault-14
Scenario1_3_1; 1; 2; 3; 0.30; 0.20; 0.25; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-09 (d=2), +fault-15 (d=3), +fault-20 (d=4); -fault-01, -fault-02, -fault-04, -fault-07
Scenario1_3_1; 1; 2; 3; 0.20; 0.30; 0.25; +fault-01 (d=1), +fault-03 (d=1), +fault-06 (d=2), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-06, -fault-07, -fault-18
Scenario1_3_1; 1; 1; 4; 0.10; 0.40; 0.25; +fault-01 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-03, -fault-05, -fault-06, -fault-08, -fault-10, -fault-11
