IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_1_1; 1; 1; 4; 0.10; 0.45; 0.28; +fault-05 (d=1), +fault-08 (d=2); -fault-01, -fault-02, -fault-04, -fault-05, -fault-06, -fault-07, -fault-09, -fault-10, -fault-14
Scenario1_1_1; 1; 2; 3; 0.10; 0.40; 0.25; +fault-01 (d=1), +fault-04 (d=1); -fault-01, -fault-02, -fault-05, -fault-10, -fault-11, -fault-12, -fault-15, -fault-20
Scenario1_1_1; 1; 2; 3; 0.25; 0.35; 0.30; +fault-01 (d=1), +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2); -fault-01, -fault-03, -fault-05, -fault-06, -fault-08, -fault-13, -fault-15
Scenario1_1_1; 1; 1; 4; 0.15; 0.20; 0.17; +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); -fault-01, -fault-02, -fault-04, -fault-05
Scenario1_1_1; 1; 2; 3; 0.25; 0.35; 0.30; +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-14 (d=3); -fault-01, -fault-02, -fault-04, -fault-07, -fault-09, -fault-14, -fault-17
Scenario1_1_1; 1; 1; 4; 0.15; 0.40; 0.28; +fault-02 (d=1), +fault-03 (d=1), +fault-05 (d=1); -fault-01, -fault-02, -fault-03, -fault-05, -fault-06, -fault-08, -fault-12, -fault-15
Scenario1_1_1; 1; 1; 4; 0.10; 0.35; 0.23; +fault-01 (d=1), +fault-10 (d=2); -fault-01, -fault-02, -fault-03, -fault-05, -fault-10, -fault-11, -fault-16
Scenario1_1_1; 1; 2; 3; 0.15; 0.30; 0.23; +fault-03 (d=1), +fault-05 (d=1), +fault-08 (d=2); -fault-01, -fault-04, -fault-05, -fault-09, -fault-10, -fault-14
Scenario1_1_1; 1; 2; 3; 0.25; 0.35; 0.30; +fault-01 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-14 (d=3), +fault-18 (d=4); -fault-01, -fault-02, -fault-05, -fault-07, -fault-10, -fault-17, -fault-20
Scenario1_1_1; 1; 2; 3; 0.30; 0.35; 0.33; +fault-01 (d=1), +fault-02 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-10 (d=2); -fault-01, -fault-02, -fault-05, -fault-06, -fault-07, -fault-10, -fault-11
